System,space_group,space_group_index,magnetic,energy_P4mm,energy_cubic,d_E_cubic_p4mm,energy_fix_P4mmm,d_E_cubic_p4mmm,d_E_p4mm_P4mmm,gap,volume,density,a,b,c,polarization,d33,d31,d33_d31,c_a_ratio,amplitude,c33,c33_c11,eps11,eps33,P_A,P_B,P_O,BEC_1zz,BEC_2zz,BEC_3zz,BEC_4zz,BEC_5zz,c11,c44,c66,c12,c13,s11,s33,s33_s11_,s44,s66,s12,s13,d15,e33,e31,e15,e33_e31,ele_1,ele_2,ele_3,ele_1_Num,ele_1_Mas,ele_1_Rad,ele_1_Rion,ele_1_IE,ele_1_EA,ele_1_Vac,ele_1_NVE,ele_1_DP,ele_1_Rc,ele_1_BD,ele_1_XAR,ele_1_ENp,ele_1_ENg,ele_2_Num,ele_2_Mas,ele_2_Rad,ele_2_Rion,ele_2_IE,ele_2_EA,ele_2_Vac,ele_2_NVE,ele_2_DP,ele_2_Rc,ele_2_BD,ele_2_XAR,ele_2_ENp,ele_2_ENg,t,E_max,dir_E_max,E_min,dir_E_min,E_mae,d33_max,dir_d33_max,d33_min,dir_d33_min,d33_mae,,,,,,,,,,,,,,,,,,,,
BaTiO3,P 4 m m,99,no,-42.00251833,-41.98247734,-0.02004099,-41.96221101,0.02026633,0.04030732,1.763,64.0446152,3.641,3.967683456,3.967683456,4.06825894,30.1329718,49.0067702,-9.176205655,-5.340635557,1.025348666,0.712736689,132.28933,0.441401774,7.159723,25.867647,19.34168885,28.95078815,-78.42544879,2.83647,5.64921,1.93828,1.93828,4.60911,299.70276,115.64938,125.16656,113.21682,88.90945,4.385264635,10.63812425,2.425879653,8.64682543,7.989354345,-0.97706992,-2.290590765,0.86753607,4.85137,0.56813,0.10033,8.539189974,Ba,Ti,O,56,137.327,215,149,5.212,14,2,2,272,2.15,3.62,0.97,0.89,0.1586786,22,47.867,140,74.5,6.82,8,4,4,100,1.6,4.506,1.32,1.54,0.1233637,0.969847206,291.416,(0.64 0.65 0.42),94.002,(0.00 0.00 1.00),3.1,49.007,(0.00 0.00 1.00),0.095,(-0.01 0.92 0.39),515.863,,,,,,,,,,,,,,,,,,,,
HoAlO3,P 4 m m,99,no,-41.20068567,-41.16479245,-0.03589322,-41.13332114,0.03147131,0.06736453,3.749,50.21637758,4.778,3.65810337,3.65810337,3.752610021,48.49423362,38.23650386,-3.522504183,-10.85492078,1.025834877,0.708233597,160.413,0.41960721,85.997641,22.947601,5.063348357,25.07326858,-78.63085055,3.76183,2.86743,2.12699,2.12699,2.37527,382.29324,53.27434,148.26722,101.64106,80.35935,3.020962187,7.478034625,2.475381737,18.77076281,6.744579146,-0.542167093,-1.241759474,142.9486638,5.5675,1.368,7.61549,4.069809942,Ho,Al,O,67,164.93,175,104.1,6.02,33,3,13,156,1.92,8.8,1.1,1.23,0.207795,13,26.982,125,67.5,15.986,42,3,3,57.8,1.21,2.7,1.47,1.61,0.150078,0.84085411,341.51,(0.70 0.71 0.02),132.371,(0.34 0.00 0.94),2.58,62.994,(-0.01 0.73 0.68),2.212,(1.00 0.00 0.02),28.478,,,,,,,,,,,,,,,,,,,,
NaNbO3,P 4 m m,99,no,-40.72944291,-40.69803134,-0.03141157,-40.66582177,0.03220957,0.06362114,1.687,61.73333289,2.655,3.917472746,3.917472746,4.022608407,40.26085684,36.51520136,-10.4147044,-3.506119807,1.026837624,0.754658169,197.94264,0.560376587,41.101329,24.453288,2.503578157,39.84036278,-82.60479777,1.17743,6.91618,1.3468,1.3468,5.40001,353.23146,70.3602,76.50315,83.23584,99.92052,3.341801944,6.57060431,1.966186034,14.21258041,13.07135719,-0.361961843,-1.504209363,-2.029130105,5.14663,-0.89706,-0.14277,-5.737219361,Na,Nb,O,11,22.999,180,116,5.139,53,1,1,162.7,1.66,0.97,1.01,0.93,0.093214,41,92.906,145,78,6.88,89,5,5,98,1.64,8.57,1.23,1.6,0.1280782,0.83882275,299.138,(1.00 0.00 0.02),152.193,(0.00 0.00 1.00),1.966,36.515,(0.00 0.00 1.00),0.102,(0.86 0.08 -0.50),357.99,,,,,,,,,,,,,,,,,,,,
CaSnO3,P 4 m m,99,no,-32.86748796,-32.73308978,-0.13439818,-32.69967123,0.03341855,0.16781673,1.43,66.43122555,3.113,4.013139003,4.013139003,4.124809153,45.71301851,17.20823384,-3.869074449,-4.447635751,1.027826136,0.882653563,191.85364,0.709932096,120.604491,14.664325,-5.582943561,28.25718253,-68.38725747,2.22532,4.26934,1.63748,1.63748,3.21971,270.24224,8.71616,72.97284,69.4466,86.35816,4.398892503,6.759294015,1.536589951,114.7294221,13.70372867,-0.581295314,-1.718396736,860.7463663,2.63321,0.17179,7.50304,15.32807498,Ca,Sn,O,20,40.078,180,114,6.113,2,2,2,160.8,1.76,1.54,1.04,1,0.1154119,50,118.71,145,83,7.344,107,4,4,53,1.39,7.287,1.72,1.96,0.178052,0.811988648,226.005,(1.00 0.00 0.02),32.438,(0.50 0.51 0.70),6.967,333.19,(-0.01 0.81 0.58),13.592,(1.00 0.00 0.02),24.514,,,,,,,,,,,,,,,,,,,,
GdCrO3,P 4 m m,99,AFM,-88.62959964,-88.4125512,-0.21704844,-88.36121359,0.05133761,0.26838605,0.724,54.72667528,4.701,3.760479479,5.318121044,3.870014763,45.83650188,14.67025568,2.813118792,5.214943545,1.02912801,0.744706128,268.31885,0.876954449,21.725339,22.908747,1.4845654,32.49290161,-79.81396889,3.78257,3.78257,3.57358,3.57358,1.76859,305.96669,31.10258,167.76807,168.05872,36.16162,4.702546472,3.805152141,0.809168429,32.15167359,5.960609787,-2.548666058,-0.29028078,63.87240055,4.13976,1.86399,1.98618,2.220913202,Gd,Cr,O,64,157.25,180,107.8,6.14,13,3,10,158,1.96,7.9,1.11,1.2,0.1944,24,51.996,140,75.5,6.766,65,2.5,6,83,1.39,7.15,1.56,1.66,0.1313053,0.820454419,388.519,(0.70 0.71 0.02),99.73,(0.71 0.00 0.70),3.896,29.062,(0.76 0.00 0.65),1.058,(-0.01 1.00 0.02),27.469,,,,,,,,,,,,,,,,,,,,
TbCrO3,P 4 m m,99,AFM,-88.46431459,-88.1857767,-0.27853789,-88.10621102,0.07956568,0.35810357,0.75,54.74688116,4.729,3.756391216,5.312339817,3.879874846,50.20082395,13.49383923,2.672252574,5.04961221,1.032872942,0.76655941,260.20634,0.867991109,20.623245,20.170349,-2.464098375,32.95458428,-80.69130985,3.655,3.655,3.59617,3.59617,1.70724,299.77996,27.44647,169.04027,166.96856,35.38729,4.858532935,3.924023806,0.807656109,36.43455789,5.915750135,-2.67093918,-0.297506258,70.66735131,3.70031,1.72478,1.93911,2.14538086,Tb,Cr,O,65,158.925,175,106.3,5.85,112,3.5,11,170,1.94,8.23,1.1,1.21,0.198863,24,51.996,140,75.5,6.766,65,2.5,6,83,1.39,7.15,1.56,1.66,0.1313053,0.815190597,387.506,(0.70 0.71 0.02),89.578,(0.71 0.00 0.70),4.326,31.241,(0.78 0.00 0.63),1.163,(-0.01 1.00 0.02),26.862,,,,,,,,,,,,,,,,,,,,
ErAlO3,P 4 m m,99,no,-41.13122837,-41.0755097,-0.05571867,-41.02201743,0.05349227,0.10921094,3.906,50.2432068,4.821,3.648686719,3.648686719,3.774020015,54.10709341,41.84378208,-5.008123461,-8.355181818,1.034350249,0.729737872,140.66803,0.36856705,73.679078,19.478821,1.181572686,24.88831093,-80.17697702,3.64094,2.88207,2.07349,2.07349,2.37602,381.66198,52.18927,146.07886,100.03481,83.76315,3.084501551,8.965669258,2.906683336,19.16102678,6.845617497,-0.466292216,-1.559056889,130.9292463,5.04709,1.09257,6.83309,4.61946603,Er,Al,O,68,167.259,175,103,6.1,30,3,14,150,1.89,9.07,1.11,1.24,0.212261,13,26.982,125,67.5,15.986,42,3,3,57.8,1.21,2.7,1.47,1.61,0.150078,0.836834382,330.794,(0.70 0.71 0.02),111.537,(0.00 0.00 1.00),2.966,59.309,(0.71 0.00 0.70),1.998,(-0.01 1.00 0.02),29.684,,,,,,,,,,,,,,,,,,,,
EuHfO3,P 4 m m,99,no,-46.32820055,-46.18463522,-0.14356533,-46.1277515,0.05688372,0.20044905,3.666,66.79217852,5.666,4.010893457,4.010893457,4.151866275,51.26457458,19.64185416,-6.128904513,-3.20479037,1.035147485,0.867318465,234.51329,0.772007146,60.742476,16.047528,-3.381623147,30.61837765,-78.50132908,2.35622,5.30053,1.73164,1.73164,4.19347,303.77088,36.73532,80.87224,77.79036,101.80823,3.918097795,5.549872666,1.416471195,27.22175824,12.36518242,-0.507062392,-1.480817897,117.5190374,3.35833,-0.33885,4.31713,-9.910963553,Eu,Hf,O,63,6151.964,185,108.7,5.67,83,3,9,184,1.98,5.24,1.01,1.18,0.189935,72,178.49,155,85,7,2,4,4,103,1.75,13.3,1.23,1.3,0.229987,0.786530623,254.957,(1.00 0.00 0.02),115.451,(0.49 0.49 0.72),2.208,47.236,(-0.01 0.78 0.63),1.767,(1.00 0.00 0.02),26.732,,,,,,,,,,,,,,,,,,,,
YCrO3,P 4 m m,99,AFM,-91.88915732,-91.57121135,-0.31794597,-91.47293399,0.09827736,0.41622333,0.747,54.95322167,3.437,3.758115757,5.314778336,3.890924888,52.86162511,14.32550655,2.785221626,5.143399153,1.035339287,0.784528927,243.68173,0.84636806,20.025021,19.403355,-5.240430673,33.21015185,-80.83134628,3.55001,3.55001,3.59798,3.59798,1.65067,287.91461,25.56244,168.07388,160.61416,31.40608,5.062961123,4.179141243,0.825434196,39.11989622,5.949764473,-2.792470433,-0.292624368,75.31852119,3.66581,1.69916,1.92481,2.157424845,Y,Cr,O,39,88.906,180,104,6.38,30,3,3,162,1.9,4.47,1.11,1.22,0.1216986,24,51.996,140,75.5,6.766,65,2.5,6,83,1.39,7.15,1.56,1.66,0.1313053,0.807119403,380.052,(0.70 0.71 0.02),83.668,(0.71 0.00 0.70),4.542,33.259,(0.78 0.00 0.63),1.239,(-0.01 1.00 0.02),26.843,,,,,,,,,,,,,,,,,,,,
DyCrO3,P 4 m m,99,AFM,-88.29135583,-87.94343382,-0.34792201,-87.83190993,0.11152389,0.4594459,0.742,54.78039025,4.792,3.752884646,5.307380708,3.889507942,53.90346411,13.90633162,3.110007722,4.471478166,1.036404875,0.78770942,241.96462,0.844150164,19.649393,18.425449,-5.767993067,33.38562782,-81.52109886,3.54865,3.54865,3.61879,3.61879,1.65702,286.63694,23.91797,172.32328,158.38926,25.97418,5.03649203,4.185280235,0.830991136,41.80956829,5.80304646,-2.760918237,-0.244275943,78.46481341,3.5264,1.74524,1.87618,2.020581697,Dy,Cr,O,66,162.5,175,105.2,5.93,34,3,12,163,1.92,8.55,1.1,1.22,0.20333,24,51.996,140,75.5,6.766,65,2.5,6,83,1.39,7.15,1.56,1.66,0.1313053,0.811330461,384.941,(0.70 0.71 0.02),79.092,(0.71 0.00 0.70),4.867,34.472,(0.78 0.00 0.63),1.294,(-0.01 1.00 0.02),26.64,,,,,,,,,,,,,,,,,,,,
SrCeO3,P 4 m m,99,no,-39.53709398,-39.26142698,-0.275667,-39.22303994,0.03838704,0.31405404,2.197,84.92980135,3.247,4.339687717,4.339687717,4.509653255,48.96939404,18.70409908,-6.58528162,-2.840288413,1.039165384,1.033674941,157.08403,0.915770726,18.087043,20.909716,-7.548985442,28.90504483,-70.32545343,2.19689,5.8624,1.49036,1.49036,5.07857,171.53205,30.71483,42.48674,45.83063,74.02305,7.365245963,9.374988132,1.272868303,32.55756258,23.53675523,-0.59011365,-3.192660374,24.6694601,1.96319,-0.04686,0.75772,-41.894793,Sr,Ce,O,38,87.62,300,132,5.695,5,2,2,197.2,1.95,2.64,0.99,0.95,0.1185082,58,140.116,185,115,5.47,65,3,4,205,2.04,6.77,1.08,1.12,0.16761,0.756985683,135.72,(1.00 0.00 0.02),89.259,(0.50 0.51 0.70),1.521,18.704,(0.00 0.00 1.00),0.287,(1.00 0.00 0.02),65.171,,,,,,,,,,,,,,,,,,,,
HoCrO3,P 4 m m,99,AFM,-88.12176337,-87.69656605,-0.42519732,-87.55272399,0.14384206,0.56903938,0.713,54.80315217,4.834,3.749609056,5.302748067,3.897925669,57.04878141,12.4077589,2.512401944,4.938604244,1.039555221,0.807459919,241.53609,0.843906702,18.860341,17.318086,-8.530602695,33.78796041,-82.30613912,3.45978,3.45978,3.64093,3.64093,1.61627,286.21184,22.05378,171.69546,162.22417,31.39395,5.168312544,4.216910151,0.815916243,45.34370072,5.824265825,-2.897005097,-0.295215976,80.51775573,3.15467,1.51618,1.77515,2.080669841,Ho,Cr,O,67,164.93,175,104.1,6.02,33,3,13,156,1.92,8.8,1.1,1.23,0.207795,24,51.996,140,75.5,6.766,65,2.5,6,83,1.39,7.15,1.56,1.66,0.1313053,0.807470324,384.343,(0.70 0.71 0.02),73.836,(0.71 0.00 0.70),5.205,34.649,(0.78 0.00 0.63),1.317,(-0.01 1.00 0.02),26.309,,,,,,,,,,,,,,,,,,,,
ErCrO3,P 4 m m,99,AFM,-87.95859527,-87.464508,-0.49408727,-87.28138012,0.18312788,0.67721515,0.689,54.8085326,4.876,3.746071893,5.297745859,3.905673581,59.62156125,11.57073259,2.205494119,5.246322125,1.042605079,0.824810842,239.24363,0.842836965,18.178039,16.650149,-10.7353837,34.11698654,-83.00316408,3.38989,3.38989,3.65768,3.65768,1.58502,283.85517,19.94353,173.47647,163.30808,33.46324,5.289824662,4.269212797,0.807061305,50.14157474,5.764470536,-3.005687737,-0.319484461,84.45106108,2.91583,1.37341,1.68364,2.123058664,Er,Cr,O,68,167.259,175,103,6.1,30,3,14,150,1.89,9.07,1.11,1.24,0.212261,24,51.996,140,75.5,6.766,65,2.5,6,83,1.39,7.15,1.56,1.66,0.1313053,0.803610188,385.429,(0.70 0.71 0.02),67.679,(0.71 0.00 0.70),5.695,35.817,(0.78 0.00 0.63),1.374,(-0.01 1.00 0.02),26.068,,,,,,,,,,,,,,,,,,,,
LiNbO3,P 4 m m,99,no,-41.3433963,-40.90296606,-0.44043024,-40.80802132,0.09494474,0.53537498,1.796,61.88327128,2.389,3.897014142,3.897014142,4.07482817,75.94731724,26.81222633,-4.803906609,-5.581337963,1.045628274,1.294830188,147.58998,0.507730673,56.26911,11.898962,-17.29488442,49.37732154,-108.0297544,1.06096,6.01113,1.21768,1.21768,4.63674,290.68557,37.26303,92.04792,48.31437,75.03122,3.966177789,8.743054786,2.204403144,26.8362503,10.86390654,-0.159724959,-1.935109685,38.4294898,3.23633,0.38323,1.432,8.444876445,Li,Nb,O,3,6.941,145,90,5.392,60,1,1,164.1125,1.28,0.534,0.97,0.98,0.105093,41,92.906,145,78,6.88,89,5,5,98,1.64,8.57,1.23,1.6,0.1280782,0.748701298,251.892,(1.00 0.00 0.02),104.995,(0.38 0.38 0.84),2.399,26.812,(0.00 0.00 1.00),0.533,(1.00 0.00 0.02),50.304,,,,,,,,,,,,,,,,,,,,
TmCrO3,P 4 m m,99,AFM,-87.82359445,-87.22235124,-0.60124321,-87.00894822,0.21340302,0.81464623,0.661,54.82242812,4.905,3.742685354,5.292956446,3.913736897,62.42184396,11.05220029,1.918958946,5.759477197,1.045702892,0.84489339,248.26028,0.850609779,17.459634,16.033852,-13.09461959,34.48836198,-83.81558635,3.31395,3.31395,3.68072,3.68072,1.55201,291.86154,18.51758,176.15559,175.52427,46.87898,5.409746723,4.186617293,0.773902644,54.00273686,5.676799697,-3.185950394,-0.419919383,94.94095904,2.92374,1.41501,1.75736,2.066232747,Tm,Cr,O,69,168.934,175,102,6.18,99,3,15,144,1.9,9.321,1.11,1.25,0.2167244,24,51.996,140,75.5,6.766,65,2.5,6,83,1.39,7.15,1.56,1.66,0.1313053,0.800100973,393.177,(0.70 0.71 0.02),63.685,(0.71 0.00 0.70),6.174,-39.6,(0.80 0.00 -0.61),1.536,(-0.01 1.00 0.02),-25.781,,,,,,,,,,,,,,,,,,,,
